input_name,type,stage_name,year,market_share_chart_global_market_size_info
Chip design,process,Design,2022.0,$574.1 billion (2022)
Logic chip design,design_resource,,2022.0,$255.7 billion (2022)
Advanced CPUs,design_resource,,2019.0,$56.2 billion (microprocessors) (2019)
Discrete GPUs,design_resource,,2019.0,$11.9 billion (2019)
FPGAs,design_resource,,2019.0,$5.7 billion (2019)
Memory chip design,design_resource,,2022.0,$129.8 billion (2022)
DAO chip design,design_resource,,2022.0,$188.7 billion (2022)
EDA and Core IP,process,Design,2019.0,
Crystal growing furnaces,tool_resource,,2022.0,$44 million (2022)
Crystal machining tools,tool_resource,,2024.0,$312.3 million (2024)
Wafer bonding and aligning tools,tool_resource,,2024.0,$520.9 million (2024)
Wafer handlers,tool_resource,,2024.0,$2.3 billion (2024)
Photomask handlers,tool_resource,,2024.0,$100.3 million (2024)
Ion implanters,tool_resource,,2024.0,$3.5 billion (2024)
Lithography tools,tool_resource,,2024.0,$29.1 billion (2024)
Imprint lithography,tool_resource,,2024.0,$29.5 million (2024)
EUV lithography tools,tool_resource,,2024.0,$9 billion (2024)
ArF dry (DUV) lithography tools,tool_resource,,2024.0,$887.8 million (2024)
ArF immersion (DUV) lithography tools,tool_resource,,2024.0,$10.6 billion (2024)
KrF (DUV) lithography tools,tool_resource,,2024.0,$2.7 billion (2024)
i-line lithography tools,tool_resource,,2024.0,$1.1 billion (2024)
Wafer,material_resource,,2019.0,$10.9 billion
Mask exposure systems - e-beam,tool_resource,,2024.0,$951.8 million (2024)
Mask exposure systems - laser beam,tool_resource,,2024.0,$185 million (2024)
Direct write systems,tool_resource,,2024.0,$33.4 million (2024)
Photoresists,material_resource,,2019.0,$3.3 billion (all photoresists)
Resist processing tools,tool_resource,,2024.0,$3.4 billion (2024)
Photomasks,material_resource,,2019.0,$4 billion (all photomasks)
Deposition tools,tool_resource,,2024.0,$24.1 billion (2024)
Other deposition tools (non-IC),tool_resource,,2024.0,$1.5 billion (2024)
Plasma CVD tools,tool_resource,,2024.0,$6.3 billion (2024)
Low-pressure CVD tools,tool_resource,,2024.0,$1.8 billion (2024)
High-temperature CVD tools,tool_resource,,2024.0,$1.5 billion (2024)
Atomic layer deposition tools,tool_resource,,2024.0,$3.5 billion (2024)
Physical vapor deposition tools,tool_resource,,2024.0,$4.6 billion (2024)
Rapid thermal processing tools,tool_resource,,2024.0,$1.4 billion (2024)
Tube-based diffusion and deposition tools,tool_resource,,2024.0,$2.2 billion (2024)
Electrochemical plating tools,tool_resource,,2024.0,$688.7 million (2024)
Plasma modification tools,tool_resource,,2024.0,$702.4 million (2024)
Etch and clean tools,tool_resource,,2024.0,$24.7 billion (2024)
Chemical vapor deposition tools,tool_resource,,2024.0,$9.6 billion (2024)
Dry etching and cleaning tools,tool_resource,,2024.0,$19.1 billion (2024)
Wet etching and cleaning tools,tool_resource,,2024.0,$6.4 billion (2024)
Dry etch tools,tool_resource,,2024.0,$18.5 billion (2024)
Conductor etching tools,tool_resource,,2024.0,$9.9 billion (2024)
Insulator etching tools,tool_resource,,2024.0,$7.4 billion (2024)
Misc. dry etch tools,tool_resource,,2024.0,$342.2 million (2024)
Ion milling tools,tool_resource,,2024.0,$0.4 million (2024)
Dry stripping tools,tool_resource,,2024.0,$272.6 million (2024)
Dry clean tools,tool_resource,,2024.0,$295.4 million (2024)
Wafer and photomask handlers,tool_resource,,2024.0,$2.4 billion (2024)
Process control tools,tool_resource,,2024.0,$13.4 billion (2024)
Photomask inspection and repair tools,tool_resource,,2024.0,$2.1 billion (2024)
Inspection tools (adv. pkg.),tool_resource,,2024.0,$905.7 million (2024)
Process monitoring tools,tool_resource,,2024.0,$50.9 million (2024)
"Film, stack, and shape metrology tools",tool_resource,,2024.0,$2.3 billion (2024)
Critical dimensions metrology tools,tool_resource,,2024.0,$869.9 million (2024)
Defect inspection tools,tool_resource,,2024.0,$5.9 billion (2024)
Overlay metrology tools,tool_resource,,2024.0,$906.6 million (2024)
E-beam metrology tools,tool_resource,,2024.0,$769.5 million (2024)
Defect review stations,tool_resource,,2024.0,$618.1 million (2024)
Assembly inspection tools,tool_resource,,2024.0,$241.1 million (2024)
Dicing tools,tool_resource,,2024.0,$1.8 billion (2024)
Bonding tools,tool_resource,,2024.0,$2.3 billion (2024)
Die attaching tools,tool_resource,,2024.0,$1.4 billion (2024)
Die attaching tools for IC,tool_resource,,2024.0,$1.1 billion (2024)
Die attaching tools for non-IC,tool_resource,,2024.0,$276.2 million (2024)
Wire bonding tools,tool_resource,,2024.0,$702.5 million (2024)
Manual wire bonders,tool_resource,,2024.0,$5.1 million (2024)
Auto ball bonders for IC,tool_resource,,2024.0,$337.6 million (2024)
Auto ball bonders for non-IC,tool_resource,,2024.0,$140.1 million (2024)
Automatic wedge bonders,tool_resource,,2024.0,$100 million (2024)
Wafer level stud bonders,tool_resource,,2024.0,$25.2 million (2024)
Other interconnect tools,tool_resource,,2024.0,$222.1 million (2024)
Packaging tools,tool_resource,,2024.0,$675.9 million (2024)
Integrated assembly tools,tool_resource,,2024.0,$22.1 million (2024)
Memory test tools,tool_resource,,2024.0,$1.6 billion (2024)
SoC test tools,tool_resource,,2024.0,$4 billion (2024)
Burn-in test tools,tool_resource,,2024.0,$215.2 million (2024)
Linear and discrete testing tools,tool_resource,,2024.0,$224.8 million (2024)
Handlers and probers,tool_resource,,2024.0,$2.2 billion (2024)
Electronic design automation software,tool_resource,,2019.0,$6.8 billion (2019)
Core intellectual property,material_resource,,2019.0,$3.9 billion (2019)
CMP tools,tool_resource,,2024.0,$2.8 billion (2024)
Deposition materials,material_resource,,2019.0,$1 billion (sputtering targets)
CMP materials,material_resource,,2019.0,$2.5 billion (slurries and pads)
Electronic gases,material_resource,,2019.0,$6 billion
Fabrication tools (for advanced packaging),tool_resource,,2024.0,$5.9 billion (2024)
Dry etching tools (adv. pkg.),tool_resource,,2024.0,$831.6 million (2024)
CVD tools (adv. pkg.),tool_resource,,2024.0,$383.1 million (2024)
PVD tools (adv. pkg.),tool_resource,,2024.0,$1.2 billion (2024)
Spin-on deposition tools (adv. pkg.),tool_resource,,2024.0,$4.8 million (2024)
ECP tools (adv. pkg.),tool_resource,,2024.0,$1.1 billion (2024)
Resist processing tools (adv. pkg.),tool_resource,,2024.0,$227.5 million (2024)
Fabrication materials,process,Fabrication,2022.0,$40 billion (2022)
Test tools,tool_resource,,2024.0,$6 billion (2024)
ATP materials,material_resource,,2022.0,$24 billion (2022)
Mask aligners,tool_resource,,2024.0,$214.3 million (2024)
CMP tools (adv. pkg.),tool_resource,,2024.0,$376.7 million (2024)
Single wafer spin & spray systems (adv. pkg.),tool_resource,,2024.0,$403.3 million (2024)
Lithography tools (adv. pkg.),tool_resource,,2024.0,$275.6 million (2024)
Deposition tools (adv. pkg.),tool_resource,,2024.0,$2.6 billion (2024)
Etch and clean tools (adv. pkg.),tool_resource,,2024.0,$1.2 billion (2024)
Direct write systems (adv. pkg.),tool_resource,,2024.0,$48.1 million (2024)
